Year,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
2021,1. Liverpool,35,19.5,140,61.8,85.9,15,7.12
2021,2. Chelsea,30,15.5,131,58.2,86.5,15.3,7.11
2021,3. Manchester City,22,17.7,181,64.1,88.9,11.6,6.97
2021,4. West Ham,23,15,141,48.8,81.9,16.3,6.86
2021,5. Crystal Palace,18,11.7,220,51.9,81.7,16.4,6.76
2021,6. Everton,16,13.5,201,41.1,74.8,17,6.72
2021,7. Wolverhampton Wanderers,12,11.7,220,50,81.7,13.1,6.72
2021,8. Southampton,11,12.8,221,50.8,78.3,17.3,6.71
2021,9. Brighton,12,11.3,321,56,84.1,14.8,6.71
2021,10. Burnley,14,11.5,280,38.6,69.5,24.2,6.69
2021,11. Brentford,16,12.1,201,46.7,73,21.7,6.68
2021,12. Tottenham,9,10.1,211,52.1,83.5,14.9,6.67
2021,13. Manchester United,20,14.5,262,53.1,83.9,12.5,6.64
2021,14. Aston Villa,16,11.5,281,46.2,77.6,17.8,6.62
2021,15. Arsenal,13,13.3,171,46,81.5,13.4,6.61
2021,16. Leicester,16,11.3,171,50.8,80.8,13.5,6.6
2021,17. Leeds,11,14.3,241,58.1,80.7,13.2,6.59
2021,18. Watford,16,11.1,261,40.7,74.8,16.7,6.58
2021,19. Newcastle United,15,11.8,321,38.3,75.9,16.8,6.5
2021,20. Norwich,7,10,231,42.7,77.1,14.4,6.44
2020,1. Manchester City,83,15.8,462,60.8,89.4,12.8,7.01
2020,2. Manchester United,73,13.8,641,54.5,84.8,14.5,6.85
2020,3. Aston Villa,55,13.7,634,49.1,78.6,19.4,6.84
2020,4. Chelsea,58,14.6,493,58.6,87,15.2,6.83
2020,5. Liverpool,68,16,400,59,85.7,14.3,6.82
2020,6. Tottenham,68,11.7,532,51.3,81.8,16.4,6.81
2020,7. Leicester,68,12.8,610,53.2,82.1,16.2,6.8
2020,8. Leeds,62,13.7,611,55.1,80.8,14.5,6.77
2020,9. West Ham,62,12.3,483,44.5,77.8,19.9,6.77
2020,10. Everton,47,10.5,592,47.3,81.4,17.7,6.73
2020,11. Arsenal,55,12.1,475,52.7,85,13.5,6.69
2020,12. Wolverhampton Wanderers,36,12.2,531,49.7,83.2,15.3,6.67
2020,13. Brighton,40,12.8,456,50.7,81.3,14.2,6.65
2020,14. Burnley,33,10.1,480,43.5,71.6,23.4,6.64
2020,15. Fulham,27,11.6,673,50,81.2,17.2,6.63
2020,16. Southampton,47,11.2,523,51.4,79.3,14.1,6.62
2020,17. Newcastle United,46,10.4,613,41.6,76,17.1,6.62
2020,18. Crystal Palace,41,9.2,542,42.9,76.1,18.3,6.61
