,,Touc,Touc,Touc,Touc,Drib,Drib,Drib,Carr,Carr,Carr,Rece
Squad,Poss,Touches,Def Pen,Att Pen,Live,Succ,Att,Succ%,Carries,TotDist,PrgDist,Rec%
Arsenal,61.5,29512,2394,1256,27806,394,646,61,19524,96574,51214,87.8
Bournemouth,47.8,22843,2631,902,20850,367,659,55.7,13061,73996,41129,83
Brighton,43.7,20799,2738,658,19099,311,501,62.1,11625,61689,32729,79.9
Burnley,43.9,19877,2525,669,18033,246,421,58.4,10367,50085,25014,77.3
Chelsea,55.4,27447,2527,1123,25740,445,737,60.4,18152,96301,54597,86.6
Crystal Palace,45.3,21219,2321,915,19296,455,756,60.2,12215,62823,33838,79.2
Everton,45.9,21402,2578,679,19575,314,561,56,11906,58050,28892,79.4
Huddersfield,45.7,21734,2411,592,19808,280,556,50.4,12052,63207,31407,79.7
Leicester City,47.9,21718,2389,736,19776,420,728,57.7,12270,66553,35262,79.1
Liverpool,60.5,29201,2037,1250,27442,446,718,62.1,19880,100869,56291,86.5
Manchester City,71.1,34053,1989,1434,32356,414,666,62.2,24202,118537,69231,90.5
Manchester Utd,54.8,26315,2326,1009,24535,441,740,59.6,17291,86835,48488,86.7
Newcastle Utd,41.7,20507,2404,687,18669,340,580,58.6,11069,55026,29374,78.3
Southampton,51.5,23455,2192,810,21571,367,571,64.3,14189,71569,38722,82.7
Stoke City,41.3,19299,2679,692,17416,354,639,55.4,10085,51642,26073,78
Swansea City,45.2,21754,2594,599,19902,339,606,55.9,13276,68472,35804,82.5
Tottenham,61.9,28269,2234,1080,26310,445,754,59,18751,95264,51280,87
Watford,49.6,22189,2241,892,20261,330,622,53.1,12397,62501,33674,80.1
West Brom,40.6,19535,2457,651,17698,337,623,54.1,10693,55623,28937,77.7
West Ham,45,20791,2401,668,18833,368,621,59.3,11775,59671,30018,80.9
Arsenal,58,26635,2699,1118,24773,365,599,60.9,18531,94663,51027,86.6
Bournemouth,46.8,22061,2570,961,20177,333,570,58.4,13670,70375,37972,82.9
Brighton,42.6,20219,2574,671,18433,299,519,57.6,11852,58929,29689,79.3
Burnley,41.2,19177,2612,708,17331,224,400,56,10217,50717,24794,76.9
Cardiff City,35.6,16206,2325,749,14415,293,488,60,8140,39509,19984,69.5
Chelsea,62.8,30780,2310,1180,29051,462,684,67.5,22481,110987,64962,89
Crystal Palace,45,21798,2432,1043,19932,486,779,62.4,13811,71747,39373,82
Everton,51.5,23167,2319,932,21182,340,615,55.3,14262,74244,37929,81.8
Fulham,48.6,23963,2764,689,22204,421,675,62.4,15445,71592,37198,83.6
Huddersfield,47,22112,2207,681,20232,284,531,53.5,13293,64075,30916,80.4
Leicester City,51.1,23693,2416,876,21838,382,619,61.7,15388,80167,43100,82.5
Liverpool,61.7,29560,2063,1292,27738,393,637,61.7,21249,95643,51914,86.9
Manchester City,67.8,32176,2064,1668,30581,437,732,59.7,24174,125515,73233,90.8
Manchester Utd,54.5,25120,2343,996,23246,364,599,60.8,16910,80921,43653,85.4
Newcastle Utd,40.4,20046,2517,716,18274,292,502,58.2,11396,55241,28845,78.3
Southampton,43.9,20806,2238,805,19042,357,601,59.4,12250,62283,32316,78.3
Tottenham,58.9,27274,2665,1022,25451,400,704,56.8,18688,89697,47143,86.1
Watford,47.1,21627,2379,961,19826,318,563,56.5,13146,61401,31930,81.1
West Ham,48.7,22568,2421,871,20707,401,639,62.8,14351,77452,40297,82.9
Wolves,46.9,22796,2214,825,21051,347,591,58.7,14501,72910,41167,82.1
Arsenal,54,24196,2929,931,22390,428,711,60.2,16309,86892,48706,86.7
Aston Villa,43.9,19827,2772,781,17902,368,584,63,11554,66138,34580,81.8
Bournemouth,43.8,20686,2739,832,18878,360,646,55.7,12186,64010,33067,81.3
Brighton,52.2,24066,2881,879,22325,361,599,60.3,15610,82502,42607,84.9
Burnley,41.4,18703,2366,655,16885,271,473,57.3,9851,48492,23294,77.4
Chelsea,60.7,29171,2489,1197,27383,466,718,64.9,20509,103002,55571,87.6
Crystal Palace,44.5,20796,2496,903,18860,448,715,62.7,12388,61778,32085,82
Everton,49.2,21845,2703,889,20006,392,635,61.7,13246,69374,36267,82.5
Leicester City,57.6,25867,2350,998,24031,411,678,60.6,16888,84083,44863,86.6
Liverpool,63.4,29379,2183,1318,27525,439,718,61.1,20118,95488,51317,87
Manchester City,66.9,31554,2222,1626,30005,539,813,66.3,22892,117460,68628,90.7
Manchester Utd,56.2,25675,2324,985,23880,475,780,60.9,17480,94581,54035,87.5
Newcastle Utd,38.6,18718,2508,593,16998,427,656,65.1,10760,54145,28128,80.9
Norwich City,49.3,23022,3280,731,21235,451,732,61.6,14491,75948,40234,84.8
Sheffield Utd,43.1,20790,2314,819,19016,364,540,67.4,11990,57523,28679,80.1
Southampton,49.3,22030,2221,894,20098,457,742,61.6,12534,62471,32381,80.9
Tottenham,52.2,24348,2661,811,22572,467,804,58.1,15693,79682,42432,85.1
Watford,42.5,19952,2259,877,18176,360,618,58.3,11603,54910,29135,79.5
West Ham,44,20825,2288,823,19019,406,645,62.9,12519,66314,33396,80.9
Wolves,48.3,22382,2106,840,20636,519,820,63.3,14114,70477,40243,84.2
Arsenal,53.8,25217,2660,979,23631,303,570,53.2,17270,91010,51942,86.9
Aston Villa,48.1,20984,2697,1060,19151,394,608,64.8,12346,65246,35020,81.4
Brighton,51.3,23519,2703,1020,21874,344,547,62.9,15362,84064,44546,83.9
Burnley,41.7,19236,2320,748,17531,249,420,59.3,10026,49692,23754,76.2
Chelsea,61.4,29563,2703,1131,27952,368,643,57.2,19875,99591,56260,88.3
Crystal Palace,40.1,19661,2331,706,17884,373,637,58.6,11234,57886,29995,80
Everton,46.5,22718,2922,700,21133,341,586,58.2,13795,76593,41361,84.2
Fulham,49.9,23627,2640,822,21923,498,762,65.4,14934,80619,43242,84.2
Leeds United,57.6,24597,3071,985,22782,321,559,57.4,15013,85594,48261,83.6
Leicester City,54.6,25031,2426,838,23368,350,629,55.6,15999,79828,42854,84.8
Liverpool,62.4,29822,2223,1372,28088,421,703,59.9,20288,98263,53343,87
Manchester City,63.9,30524,2142,1359,29001,485,807,60.1,22043,117299,67025,90.4
Manchester Utd,55.8,26392,2392,1043,24709,424,733,57.8,17172,94013,53179,86.7
Newcastle Utd,38.2,18589,2672,637,16830,352,577,61,10688,53725,27978,79.8
Sheffield Utd,41.5,20178,2446,703,18557,302,512,59,11343,58979,31782,81.4
Southampton,52.2,23420,2440,793,21630,367,631,58.2,13917,71626,38066,82.8
Tottenham,51.7,24321,2708,770,22574,408,673,60.6,15374,74651,39501,84.7
West Brom,37.6,18231,2690,653,16492,293,534,54.9,9642,49714,25179,77.1
West Ham,42.9,20537,2423,828,18875,325,546,59.5,12116,68476,34759,81.5
Wolves,49.3,22963,2287,759,21244,496,779,63.7,14457,76002,42595,85.7
Arsenal,48.5,8221,994,348,7640,112,214,52.3,5289,28232,16019,86.6
Aston Villa,44.6,7517,985,352,6824,114,198,57.6,4339,21695,11528,82.1
Brentford,45.7,8035,1184,327,7345,90,172,52.3,4247,21151,11326,78
Brighton,57.1,10148,1253,381,9507,131,219,59.8,6539,32375,16784,85.9
Burnley,39.5,6758,897,258,6147,86,160,53.8,3500,17814,8256,75.5
Chelsea,58.9,10710,1034,479,10055,151,240,62.9,7080,33937,18830,87.8
Crystal Palace,51,9318,1148,347,8611,148,269,55,5953,29576,15373,85.9
Everton,40.6,7158,905,334,6547,102,200,51,4099,22697,11845,79.8
Leeds United,57.8,9480,1159,370,8786,129,270,47.8,6111,33762,18762,85.1
Leicester City,52,9275,1181,344,8534,115,222,51.8,5807,26903,14028,84.1
Liverpool,63.1,11305,973,565,10624,122,237,51.5,7385,34149,19298,86.5
Manchester City,66.5,12113,845,666,11499,144,259,55.6,8904,45006,25621,90.8
Manchester Utd,52.7,9563,959,362,8899,130,235,55.3,5988,31438,18118,86.5
Newcastle Utd,38.9,7036,1024,309,6344,129,235,54.9,4109,21726,11762,80.9
Norwich City,45.9,8500,1204,284,7804,134,261,51.3,5153,26337,14495,83.5
Southampton,49.3,8448,887,385,7754,139,258,53.9,5042,28437,16050,81.3
Tottenham,50,8635,947,276,7985,139,264,52.7,5410,26641,14317,85.6
Watford,40.7,7306,1063,289,6584,141,253,55.7,3936,20377,11519,77.7
West Ham,46.3,8420,953,369,7795,98,195,50.3,5229,28939,14609,83.5
Wolves,50.6,9151,1006,313,8518,183,317,57.7,6041,29899,16853,85.4
